Subaru Sumner Park	Service	200700426	Switch	2950		ssp_core_c2950_24_1
Subaru Sumner Park	Showroom	200701026	Notebook	8932-A19	L3-F0794 07 12	sucsho6
Subaru Sumner Park	Showroom	200701026	Notebook	8932-A19	L3-F0794 07 12	Ray Burton
Subaru Sumner Park	Showroom	200701026	Notebook	8932-A19	L3-F0794 07 12	1517
Subaru Sumner Park	Showroom	200800507	WAP	AIR-AP1131AG-N-K9	F0C1135152L	ssid: sspworkshop
Subaru Sumner Park	Showroom	200800507	WAP	AIR-AP1131AG-N-K9	F0C1135152L	ssp_workshop
