###,Interog8,v2.1
USR,20140402091910+1000,10.32.99.160,pmon.printer
SNO,20140402091910+1000,10.32.99.160,NR52600903
PAG,20140402091910+1000,10.32.99.160,8168
IPA,20140402091910+1000,10.32.99.160,10.32.99.160
MOD,20140402091910+1000,10.32.99.160,FS-1135MFP
