id,s_serialno,s_status,s_model,s_devicetype,t_date,s_location,s_costcentre,s_department,NA,NA,13,NA
200800237,0801-B088299/001,Active,D945PSN,PC,2008-01-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800242,0802-B088810/004,Active,D945PSN,PC,2008-02-01,Subaru City Newstead,804 CAG Subaru,Parts,NA,NA,13,NA
200800243,0802-B088809/003,Active,D945PSN,PC,2008-02-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800244,0802-B088810/002,Active,D945PSN,PC,2008-02-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800245,0801-B088350/009,Active,D945PSN,PC,2008-01-01,Subaru City Newstead,804 CAG Subaru,Service,NA,NA,13,NA
200800246,0801-B088350/002,Active,D945PSN,PC,2008-01-01,Subaru City Newstead,804 CAG Subaru,Service,NA,NA,13,NA
200800247,0801-B088350/011,Active,D945PSN,PC,2008-01-01,Subaru City Newstead,804 CAG Subaru,Service,NA,NA,13,NA
200800256,0803-B089349/001,Active,D945PSN,PC,2008-03-01,Austral VW Newstead,807 Austral Honda-VW,Showroom,NA,NA,13,NA
200800262,0801-B088350/006,Active,D945PSN,PC,2008-01-01,Austral Motors Newstead,807 Austral Honda-VW,Parts,NA,NA,13,NA
200800270,0803-B089083/004,Active,D945PSN,PC,2008-03-01,Eagers Holden Windsor,836 Eagers Holden,Showroom,NA,NA,13,NA
200800273,0807-B090473/001,Active,D945PSN,PC,2008-07-01,Eagers Holden Newstead,836 Eagers Holden,Parts,NA,NA,13,NA
200800276,0801-B088351/003,Active,D945PSN,PC,2008-01-01,Subaru City Newstead,804 CAG Subaru,Parts,NA,NA,13,NA
200800309,0807-B090445/001,Active,D945PSN,PC,2008-07-01,Torque Ford North Lakes,820 Torque Ford,Service,NA,NA,13,NA
200800317,0808-B090787/001,Active,D945PSN,PC,2008-08-01,Eagers Holden Newstead,836 Eagers Holden,Parts,NA,NA,13,NA
200800353,B091915/001,Active,Intel DP35,PC,2008-11-11,Subaru City Newstead,804 CAG Subaru,Service,NA,NA,13,NA
200800359,B092035/001,Active,Intel DP35,PC,2008-12-03,Corporate Office Fortitude Valley,APGP258B Corporate,Admin,NA,NA,13,NA
200800364,B092035/006,Active,Intel DP35,PC,2008-12-03,Eagers Holden Newstead,836 Eagers Holden,Parts,NA,NA,13,NA
200800372,B092035/011,Active,Intel DP35,PC,2008-12-03,PAG Fortitude Valley,806 Austral PAG,Service,NA,NA,13,NA
200800375,B092035/014,Active,Intel DP35,PC,2008-12-03,PAG Fortitude Valley,806 Austral PAG,Warranty,NA,NA,13,NA
200800376,B092035/015,Active,Intel DP35,PC,2008-12-03,Porsche Centre Brisbane Newstead,805 Austral Porsche,Service,NA,NA,13,NA
200800377,B092035/016,Active,Intel DP35,PC,2008-12-03,Southside Honda Buranda,802 Southside Honda,Showroom,NA,NA,13,NA
200800379,B092035/018,Active,Intel DP35,PC,2008-12-03,Metro Ford Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800381,B092035/020,Active,Intel DP35,PC,2008-12-03,PAG Fortitude Valley,806 Austral PAG,Service,NA,NA,13,NA
200800396,B092979/002,Active,Intel DP43,PC,2009-03-25,Southside Toyota Mt Gravatt,801 Southside Toyota,Service,NA,NA,13,NA
200800420,B092979/010,Active,Intel DP43,PC,2009-03-25,Eagers Holden Newstead,836 Eagers Holden,Parts,NA,NA,13,NA
200800425,B092979/015,Active,Intel DP43,PC,2009-03-25,Eagers Mazda Newstead,833 Eagers Mazda,Service,NA,NA,13,NA
200800428,B092979/018,Active,Intel DP43,PC,2009-03-25,Eagers Holden Windsor,836 Eagers Holden,Parts,NA,NA,13,NA
200800464,B093900/002,Active,Intel DP43,PC,2009-06-30,Eagers Holden Windsor,836 Eagers Holden,Service,NA,NA,13,NA
200800467,B093900/005,Active,Intel DP43,PC,2009-06-30,Austral Honda Newstead,807 Austral Honda-VW,Parts,NA,NA,13,NA
200800468,B093900/006,Active,Intel DP43,PC,2009-06-30,Austral Honda Newstead,807 Austral Honda-VW,Parts,NA,NA,13,NA
200800472,B093900/010,Active,Intel DP43,PC,2009-06-30,Austral PAG Fortitude Valley,806 Austral PAG,Parts,NA,NA,13,NA
200800477,B093900/015,Active,Intel DP43,PC,2009-06-30,Austral Honda Newstead,807 Austral Honda-VW,Parts,NA,NA,13,NA
200800483,29025787H,Active,PTSB0A-002001,Notebook,2009-07-10,Torque Ford North Lakes,820 Torque Ford,Sales,NA,NA,13,NA
200800485,29026638H,Active,PTSB0A-002001,Notebook,2009-07-31,Torque Toyota North Lakes,809 Torque Toyota,Sales,NA,NA,13,NA
200800526,L3-L5283,Active,8932-A45,Notebook,2007-06-30,Metro Ford Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800607,B094507/002,Active,Intel DP43,PC,2009-09-01,Eagers Mazda Newstead,833 Eagers Mazda,Service,NA,NA,13,NA
200800608,B094507/003,Active,Intel DP43,PC,2009-09-01,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200800609,B094507/004,Active,Intel DP43,PC,2009-09-01,Southside Toyota Woolloongabba,801 Southside Toyota,Service,NA,NA,13,NA
200800610,B094507/005,Active,Intel DP43,PC,2009-09-01,SSV/SSR Buranda,806 Austral PAG,Service,NA,NA,13,NA
200800611,B094507/006,Active,Intel DP43,PC,2009-09-01,Corporate Office Fortitude Valley,APGP258B Corporate,Admin,NA,NA,13,NA
200800613,B094507/008,Active,Intel DP43,PC,2009-09-01,Eagers Kia Kedron,803 Eagers Misubishi&Kia,Parts,NA,NA,13,NA
200800616,29026609H,Active,PTSB0A-002001,Notebook,2009-08-27,Torque Ford Strathpine,820 Torque Ford,Parts,NA,NA,13,NA
200800642,B095026/001,Active,Intel DP43,PC,2009-10-29,Eagers Mitsubishi Newstead,803 Eagers Misubishi&Kia,Service,NA,NA,13,NA
200800643,B095026/002,Active,Intel DP43,PC,2009-10-29,Eagers Holden Windsor,836 Eagers Holden,Warranty,NA,NA,13,NA
200800644,B095026/003,Active,Intel DP43,PC,2009-10-29,Eagers Mitsubishi Newstead,803 Eagers Misubishi&Kia,Showroom,NA,NA,13,NA
200800647,B095104/002,Active,Intel DP43,PC,2009-11-05,Torque Toyota North Lakes,809 Torque Toyota,Sales,NA,NA,13,NA
200800648,B095104/003,Active,Intel DP43,PC,2009-11-05,Torque Ford Strathpine,820 Torque Ford,Sales,NA,NA,13,NA
200800649,B095104/004,Active,Intel DP43,PC,2009-11-05,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200800650,B095104/005,Active,Intel DP43,PC,2009-11-05,Southside Honda Buranda,802 Southside Honda,Customer Relations,NA,NA,13,NA
200800660,B095289/001,Active,Intel DP43,PC,2009-11-25,Eagers Mazda Newstead,833 Eagers Mazda,Showroom,NA,NA,13,NA
200800662,B095289/003,Active,Intel DP43,PC,2009-11-25,Eagers Holden Windsor,836 Eagers Holden,Service,NA,NA,13,NA
200800663,B095289/004,Active,Intel DP43,PC,2009-11-25,Eagers Holden Windsor,836 Eagers Holden,Service,NA,NA,13,NA
200800664,B095289/005,Active,Intel DP43,PC,2009-11-25,BMA Pinkenba,810 Brisbane Motor Auction,Sales,NA,NA,13,NA
200800665,B095289/006,Active,Intel DP43,PC,2009-11-25,Southside Toyota Woolloongabba,801 Southside Toyota,Sales,NA,NA,13,NA
200800666,B095289/007,Active,Intel DP43,PC,2009-11-25,Eagers Kia Service Kedron,803 Eagers Misubishi&Kia,Service,NA,NA,13,NA
200800667,B095289/008,Active,Intel DP43,PC,2009-11-25,Southside Toyota Woolloongabba,801 Southside Toyota,Parts,NA,NA,13,NA
200800668,B095289/009,Active,Intel DP43,PC,2009-11-25,BMA Pinkenba,810 Brisbane Motor Auction,Sales,NA,NA,13,NA
200800669,B095289/010,Active,Intel DP43,PC,2009-11-25,Torque Ford Admin,820 Torque Ford,Admin,NA,NA,13,NA
200800679,B095663/001,Active,Zotac MAG HD-ND01,PC,2010-01-08,PAG Fortitude Valley,806 Austral PAG,Showroom,NA,NA,13,NA
200800683,79030037H,Active,PTSB0A-04L001,Notebook,2010-01-19,Eagers Holden Newstead,836 Eagers Holden,Parts,NA,NA,13,NA
200800684,B095700/001,Active,Intel DP43,PC,2010-01-19,IT Pinkenba,IT,IT,NA,NA,13,NA
200800685,B095700/002,Active,Intel DP43,PC,2010-01-19,Eagers Mazda Newstead,833 Eagers Mazda,Sales,NA,NA,13,NA
200800686,B095700/003,Active,Intel DP43,PC,2010-01-19,Torque Ford Strathpine,820 Torque Ford,Sales,NA,NA,13,NA
200800687,B095700/004,Active,Intel DP43,PC,2010-01-19,Metro Maroochydore,808 Metro,Refinish,NA,NA,13,NA
200800688,B095700/005,Active,Intel DP43,PC,2010-01-19,Caloundra City Great Wall,837 Caloundra City Autos,Sales,NA,NA,13,NA
200800689,B095700/006,Active,Intel DP43,PC,2010-01-19,Metro Ford Fortitude Valley,808 Metro,Sales,NA,NA,13,NA
200800690,B095700/007,Active,Intel DP43,PC,2010-01-19,Torque Toyota Brendale,809 Torque Toyota,Sales,NA,NA,13,NA
200800691,B095700/008,Active,Intel DP43,PC,2010-01-19,Corporate QLD/NT Division,APFP258B QLD-NT Division,PTC,NA,NA,13,NA
200800692,B095700/009,Active,Intel DP43,PC,2010-01-19,Torque Ford North Lakes,820 Torque Ford,Warranty,NA,NA,13,NA
200800693,B095700/010,Active,Intel DP43,PC,2010-01-19,Torque Toyota Brendale,809 Torque Toyota,Admin,NA,NA,13,NA
200800699,B095758/001,Active,Intel DP43,PC,2010-01-25,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800702,B095758/003,Active,Intel DP43,PC,2010-01-25,Eagers Holden Windsor,836 Eagers Holden,Admin,NA,NA,13,NA
200800703,B095758/004,Active,Intel DP43,PC,2010-01-25,Subaru City Newstead,804 CAG Subaru,Parts,NA,NA,13,NA
200800704,B095758/005,Active,Intel DP43,PC,2010-01-25,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800721,B095941/001,Active,Intel DP43,PC,2010-02-16,Eagers Kia Service Kedron,803 Eagers Misubishi&Kia,Service,NA,NA,13,NA
200800722,B095941/002,Active,Intel DP43,PC,2010-02-16,Torque Ford Strathpine,820 Torque Ford,Showroom,NA,NA,13,NA
200800723,B095941/003,Active,Intel DP43,PC,2010-02-16,Austral PAG Fortitude Valley,806 Austral PAG,Service,NA,NA,13,NA
200800724,B095941/004,Active,Intel DP43,PC,2010-02-16,Metro Ford Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800726,B095941/006,Active,Intel DP43,PC,2010-02-16,BMA Pinkenba,810 Brisbane Motor Auction,Sales,NA,NA,13,NA
200800727,B095941/007,Active,Intel DP43,PC,2010-02-16,Austral VW Newstead,807 Austral Honda-VW,Admin,NA,NA,13,NA
200800728,B095941/008,Active,Intel DP43,PC,2010-02-16,Torque Ford North Lakes,820 Torque Ford,Service,NA,NA,13,NA
200800729,B095941/009,Active,Intel DP43,PC,2010-02-16,Torque Ford Strathpine,820 Torque Ford,Parts,NA,NA,13,NA
200800730,B095941/010,Active,Intel DP43,PC,2010-02-16,Torque Ford Admin,820 Torque Ford,Admin,NA,NA,13,NA
200800755,1A063683H,Active,PTSE1A-00K005,Notebook,2010-03-09,Torque Toyota Brendale,809 Torque Toyota,Showroom,NA,NA,13,NA
200800757,1A062809H,Active,PTSE1A-00K005,Notebook,2010-03-09,Subaru City Newstead,804 CAG Subaru,Service,NA,NA,13,NA
200800770,B096325/001,Active,Zotac MAG HD-ND01,PC,2010-03-19,Gympie Road Wholesale Cars,803 Eagers Misubishi&Kia,Showroom,NA,NA,13,NA
200800771,B096325/002,Active,Zotac MAG HD-ND01,PC,2010-03-19,Gympie Road Wholesale Cars,803 Eagers Misubishi&Kia,Showroom,NA,NA,13,NA
200800772,B096325/003,Active,Zotac MAG HD-ND01,PC,2010-03-19,Eagers Mazda Newstead,833 Eagers Mazda,Service,NA,NA,13,NA
200800773,B096325/004,Active,Zotac MAG HD-ND01,PC,2010-03-19,Metro Ford Fortitude Valley,808 Metro,Sales,NA,NA,13,NA
200800774,B096325/005,Active,Zotac MAG HD-ND01,PC,2010-03-19,Gympie Road Wholesale Cars,803 Eagers Misubishi&Kia,Showroom,NA,NA,13,NA
200800776,B096079/002,Active,Intel DP43,PC,2010-03-24,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Sales,NA,NA,13,NA
200800777,B096079/003,Active,Intel DP43,PC,2010-03-24,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Showroom,NA,NA,13,NA
200800778,B096079/004,Active,Intel DP43,PC,2010-03-24,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Service,NA,NA,13,NA
200702023,200702023,Active,Generic PC,PC,1970-01-01,Caloundra City Mitsubishi,837 Caloundra City Autos,Sales,NA,NA,13,NA
200702024,200702024,Active,Generic PC,PC,1970-01-01,Caloundra City Suzuki,837 Caloundra City Autos,Sales,NA,NA,13,NA
200702029,200702029,Active,Generic PC,PC,1970-01-01,Caloundra City Holden,837 Caloundra City Autos,Unknown,NA,NA,13,NA
200702031,200702031,Active,Generic PC,PC,1970-01-01,Caloundra City Holden,837 Caloundra City Autos,Parts,NA,NA,13,NA
200702035,200702035,Active,Generic PC,PC,1970-01-01,Caloundra City Holden,837 Caloundra City Autos,Parts,NA,NA,13,NA
200702036,200702036,Active,Generic PC,PC,1970-01-01,Caloundra City Holden,837 Caloundra City Autos,Admin,NA,NA,13,NA
200800804,B096290/002,Active,Intel DP43,PC,2010-03-31,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200800805,B096091/001,Active,Intel DP43,PC,2010-04-07,Metro Ford Fortitude Valley,808 Metro,Service,NA,NA,13,NA
200800806,B096091/002,Active,Intel DP43,PC,2010-04-07,Caloundra City Holden,837 Caloundra City Autos,Admin,NA,NA,13,NA
200800807,B096091/003,Active,Intel DP43,PC,2010-04-07,Caloundra City Honda,837 Caloundra City Autos,Showroom,NA,NA,13,NA
200800808,B096091/004,Active,Intel DP43,PC,2010-04-07,Torque Toyota North Lakes,809 Torque Toyota,Service,NA,NA,13,NA
200800809,B096091/005,Active,Intel DP43,PC,2010-04-07,Porsche Centre Brisbane Newstead,805 Austral Porsche,Sales,NA,NA,13,NA
200800810,B096091/006,Active,Intel DP43,PC,2010-04-07,Southside Toyota Woolloongabba,801 Southside Toyota,Sales,NA,NA,13,NA
200800811,B096091/007,Active,Intel DP43,PC,2010-04-07,Eagers Holden Newstead,836 Eagers Holden,Service,NA,NA,13,NA
200800812,B096091/008,Active,Intel DP43,PC,2010-04-07,Caloundra City Holden,837 Caloundra City Autos,Pre Delivery,NA,NA,13,NA
200800813,B096091/009,Active,Intel DP43,PC,2010-04-07,Caloundra City Holden,837 Caloundra City Autos,Admin,NA,NA,13,NA
200800814,B096091/010,Active,Intel DP43,PC,2010-04-07,Southside Toyota Mt Gravatt,801 Southside Toyota,Sales,NA,NA,13,NA
200800816,1A109034H,Active,PTSE1A-00K005,Notebook,2010-04-08,IT Pinkenba,IT,IT,NA,NA,13,NA
200800835,B096287/001,Active,Intel DP43,PC,2010-04-19,Austral PAG Fortitude Valley,806 Austral PAG,Showroom,NA,NA,13,NA
200800836,B096287/002,Active,Intel DP43,PC,2010-04-19,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200800837,B096287/003,Active,Intel DP43,PC,2010-04-19,Subaru City Newstead,804 CAG Subaru,Showroom,NA,NA,13,NA
200800838,B096287/004,Active,Intel DP43,PC,2010-04-19,Torque Toyota North Lakes,809 Torque Toyota,Service,NA,NA,13,NA
200800839,B096287/005,Active,Intel DP43,PC,2010-04-19,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200800840,B096287/006,Active,Intel DP43,PC,2010-04-19,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200800841,B096287/007,Active,Intel DP43,PC,2010-04-19,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200800843,B096287/009,Active,Intel DP43,PC,2010-04-19,Metro Toowoomba Toowoomba,808 Metro,Parts,NA,NA,13,NA
200800844,B096287/010,Active,Intel DP43,PC,2010-04-19,Southside Toyota Mt Gravatt,801 Southside Toyota,Service,NA,NA,13,NA
200800852,B096489/001,Active,Intel DP43,PC,2010-04-30,Torque Toyota Brendale,809 Torque Toyota,Sales,NA,NA,13,NA
200800853,B096489/002,Active,Intel DP43,PC,2010-04-30,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200800854,B096489/003,Active,Intel DP43,PC,2010-04-30,Metro Ford Fortitude Valley,808 Metro,Admin,NA,NA,13,NA
200800855,B096489/004,Active,Intel DP43,PC,2010-04-30,Austral PAG Fortitude Valley,806 Austral PAG,Service,NA,NA,13,NA
200800856,B096489/005,Active,Intel DP43,PC,2010-04-30,Austral PAG Fortitude Valley,806 Austral PAG,Service,NA,NA,13,NA
200800857,B096489/006,Active,Intel DP43,PC,2010-04-30,Torque Ford Strathpine,820 Torque Ford,Showroom,NA,NA,13,NA
200800860,B096489/009,Active,Intel DP43,PC,2010-04-30,Southside Toyota Woolloongabba,801 Southside Toyota,Sales,NA,NA,13,NA
200800861,B096489/010,Active,Intel DP43,PC,2010-04-30,Torque Ford Strathpine,820 Torque Ford,Service,NA,NA,13,NA
200800862,B096489/011,Active,Intel DP43,PC,2010-04-30,Caloundra City Holden,837 Caloundra City Autos,Parts,NA,NA,13,NA
200800868,B096661/001,Active,Intel DP43,PC,2010-05-17,Torque Toyota Brendale,809 Torque Toyota,Showroom,NA,NA,13,NA
200800871,B096661/002,Active,Intel DP43,PC,2010-05-17,Torque Ford Strathpine,820 Torque Ford,Service,NA,NA,13,NA
200800872,B096661/003,Active,Intel DP43,PC,2010-05-17,Eagers Mazda Newstead,833 Eagers Mazda,Service,NA,NA,13,NA
200800873,B096661/004,Active,Intel DP43,PC,2010-05-17,Caloundra City Honda,837 Caloundra City Autos,Service,NA,NA,13,NA
